month,rfe,denial,layoff,stamping,rejection,lottery,h1b_ban
2015-09-01,0,0,0,0,0,0,0
2015-10-01,0,0,0,0,0,0,0
2015-11-01,0,0,0,0,0,0,0
2016-01-01,0,0,0,0,0,0,0
2016-02-01,0,0,0,0,0,0,0
2016-03-01,0,0,0,0,0,0,0
2016-04-01,0,0,0,0,0,1,0
2016-05-01,0,0,0,1,0,1,0
2016-06-01,1,0,0,0,0,0,0
2016-07-01,2,0,0,0,0,1,0
2016-08-01,4,0,1,0,0,0,0
2016-09-01,0,0,0,0,0,1,0
2016-10-01,1,0,0,0,0,1,0
2016-11-01,0,0,0,0,0,0,0
2016-12-01,0,0,0,0,0,0,0
2017-01-01,0,0,0,0,0,0,1
2017-02-01,0,0,0,0,0,0,0
2017-03-01,0,0,0,0,0,0,0
2017-04-01,0,1,0,0,0,0,0
2017-05-01,0,0,1,0,0,1,0
2017-06-01,0,0,0,0,0,0,0
2017-07-01,0,0,0,0,0,0,0
2017-08-01,1,0,0,0,0,0,0
2017-09-01,0,0,0,1,0,2,0
2017-10-01,0,0,0,0,0,0,0
2017-11-01,2,0,0,0,0,1,0
2017-12-01,0,1,2,2,0,1,0
2018-01-01,0,0,0,0,0,1,0
2018-02-01,0,0,0,0,0,0,0
2018-03-01,1,0,0,0,1,1,0
2018-04-01,0,0,0,0,0,1,0
2018-05-01,1,0,0,0,0,1,0
2018-06-01,1,0,0,1,0,0,0
2018-07-01,0,0,0,0,0,3,0
2018-08-01,0,3,0,0,1,1,0
2018-09-01,3,0,0,1,0,1,0
2018-10-01,1,2,0,2,0,2,0
2018-11-01,0,0,0,1,0,0,0
2018-12-01,1,0,1,0,0,2,0
2019-01-01,3,0,0,1,0,0,0
2019-02-01,2,0,0,0,0,0,0
2019-03-01,2,0,0,3,0,1,0
2019-04-01,3,0,0,1,0,3,0
2019-05-01,4,3,1,0,2,3,0
2019-06-01,3,1,0,0,0,2,0
2019-07-01,6,3,0,3,1,1,0
2019-08-01,3,2,0,2,0,1,0
2019-09-01,2,2,0,3,2,1,0
2019-10-01,3,2,0,0,0,0,0
2019-11-01,4,3,0,1,0,1,0
2019-12-01,3,1,0,2,1,3,0
2020-01-01,1,2,1,2,1,0,0
2020-02-01,2,0,0,1,0,4,0
2020-03-01,1,1,1,4,0,10,0
2020-04-01,1,3,5,0,2,6,1
2020-05-01,1,3,0,4,0,9,1
2020-06-01,2,1,4,6,0,8,6
2020-07-01,3,6,3,4,1,3,1
2020-08-01,2,0,0,10,0,6,1
2020-09-01,7,1,2,5,0,2,0
2020-10-01,5,0,0,14,0,2,2
2020-11-01,3,1,0,6,0,4,1
2020-12-01,1,0,1,8,0,0,0
2021-01-01,2,0,0,9,0,5,4
2021-02-01,5,1,0,7,1,7,0
2021-03-01,2,0,0,7,1,30,1
2021-04-01,1,0,0,11,1,21,1
2021-05-01,5,2,2,7,2,10,3
2021-06-01,3,1,0,14,0,9,1
2021-07-01,2,1,0,14,1,21,1
2021-08-01,2,1,1,23,0,16,0
2021-09-01,2,0,1,19,1,3,1
2021-10-01,1,0,0,23,1,6,1
2021-11-01,2,1,0,24,1,10,0
2021-12-01,1,1,1,17,0,4,0
2022-01-01,2,1,0,16,1,6,0
2022-02-01,1,2,0,10,2,10,0
2022-03-01,3,0,0,18,1,67,0
2022-04-01,6,3,0,23,4,21,0
2022-05-01,6,1,0,30,2,12,0
2022-06-01,6,1,2,36,3,11,0
2022-07-01,9,1,5,39,4,11,0
2022-08-01,8,3,7,31,0,15,0
2022-09-01,9,1,2,32,4,4,0
2022-10-01,8,0,4,41,0,5,1
2022-11-01,1,1,14,35,0,1,0
2022-12-01,3,3,5,29,0,9,0
2023-01-01,2,1,14,36,1,13,0
2023-02-01,3,1,11,19,1,17,0
2023-03-01,0,1,11,33,10,84,0
2023-04-01,1,2,16,34,2,46,0
2023-05-01,13,1,10,27,5,18,0
2023-06-01,12,3,19,32,2,20,0
2023-07-01,4,1,16,35,2,98,0
2023-08-01,10,5,18,54,6,74,0
2023-09-01,6,2,5,62,1,17,0
2023-10-01,9,5,9,54,0,12,0
2023-11-01,10,5,13,56,1,18,0
2023-12-01,7,6,7,74,2,17,0
2024-01-01,6,2,19,63,4,27,0
2024-02-01,10,9,20,82,1,39,0
2024-03-01,8,12,13,69,2,71,0
2024-04-01,7,4,21,64,9,108,0
2024-05-01,9,7,47,71,3,34,0
2024-06-01,17,9,19,67,2,19,0
2024-07-01,32,5,34,76,10,50,0
2024-08-01,28,3,44,110,10,97,0
2024-09-01,36,11,45,101,5,11,0
2024-10-01,30,5,35,106,5,15,0
2024-11-01,26,8,36,148,5,11,0
2024-12-01,17,6,31,150,3,17,2
2025-01-01,19,8,20,110,5,33,1
2025-02-01,37,13,47,130,9,42,1
2025-03-01,17,16,61,138,7,110,3
2025-04-01,34,8,39,84,9,120,0
2025-05-01,33,8,48,102,4,22,1
2025-06-01,30,11,31,95,6,13,6
2025-07-01,49,7,36,113,9,33,1
2025-08-01,36,12,35,108,9,10,2
2025-09-01,25,11,34,264,5,52,4
2025-10-01,43,16,47,114,4,17,1
2025-11-01,36,11,40,90,3,15,0
2025-12-01,35,14,28,124,4,31,2
2026-01-01,39,15,32,101,5,37,5
2026-02-01,52,12,29,81,3,51,3
2026-03-01,50,14,31,51,8,234,3
2026-04-01,14,2,11,13,0,63,1
