state_abbr,state_name,labor_force
AL,Alabama,2386304
AK,Alaska,369379
AZ,Arizona,3800676
AR,Arkansas,1454559
CA,California,19826577
CO,Colorado,3238456
CT,Connecticut,1929141
DE,Delaware,514718
DC,District of Columbia,406902
FL,Florida,11141202
GA,Georgia,5451101
HI,Hawaii,687830
ID,Idaho,1008136
IL,Illinois,6570062
IN,Indiana,3498263
IA,Iowa,1741535
KS,Kansas,1578265
KY,Kentucky,2108665
LA,Louisiana,2117818
ME,Maine,708316
MD,Maryland,3211231
MA,Massachusetts,3915271
MI,Michigan,4983743
MN,Minnesota,3169201
MS,Mississippi,1292634
MO,Missouri,3177115
MT,Montana,578837
NE,Nebraska,1104314
NV,Nevada,1698029
NH,New Hampshire,777213
NJ,New Jersey,4912673
NM,New Mexico,983967
NY,New York,10118757
NC,North Carolina,5311680
ND,North Dakota,435642
OH,Ohio,5929736
OK,Oklahoma,2014158
OR,Oregon,2214220
PA,Pennsylvania,6587586
RI,Rhode Island,588904
SC,South Carolina,2658086
SD,South Dakota,492816
TN,Tennessee,3532590
TX,Texas,15941826
UT,Utah,1840984
VT,Vermont,344047
VA,Virginia,4513203
WA,Washington,4066446
WV,West Virginia,782052
WI,Wisconsin,3126595
WY,Wyoming,288501
PR,Puerto Rico,1234455
