word,count,weight
denied,491,11.437
drop,447,11.302
think,433,11.256
worried,423,11.223
rejected,416,11.199
else,415,11.195
chennai,410,11.178
says,392,11.113
fee,365,11.011
problem,365,11.011
many,361,10.995
today,360,10.991
anything,347,10.938
indian,345,10.93
into,337,10.896
jan,337,10.896
stuck,330,10.866
refused,326,10.848
lost,321,10.826
website,316,10.803
told,315,10.799
wage,309,10.771
return,306,10.757
left,305,10.752
something,305,10.752
post,301,10.733
check,291,10.685
letter,290,10.68
dec,285,10.655
fraud,278,10.619
dropbox,939,1.012
due,618,0.965
pay,582,0.865
going,736,0.809
appointment,1523,0.717
people,809,0.699
even,812,0.691
sure,498,0.59
see,459,0.561
getting,745,0.523
said,468,0.521
trying,421,0.492
companies,388,0.487
since,1153,0.484
submitted,394,0.48
issue,393,0.46
ask,382,0.449
country,977,0.426
home,643,0.419
email,386,0.408
